N,K,D,rep,condition,start_fitness,final_fitness,improvement,accepted_total,accepted_bad,accepted_bad_fraction,accepted_mean_distance,landscape_seed,steps
16,0,1,2,Strong_delta_HM_naive,0.4422307060728417,-0.0015327165237821738,,,,,,1779618492,50
16,0,2,2,H,0.4422307060728417,0.5608894340277782,0.11865872795493654,30.0,13.0,0.43333333333333335,1.1666666666666667,1779618492,50
16,0,2,2,M,0.4422307060728417,0.5486644042862426,0.10643369821340093,50.0,25.0,0.5,1.8,1779618492,50
16,0,2,2,HM_naive,0.4422307060728417,0.5628227165414309,0.1205920104685892,47.0,20.0,0.425531914893617,1.446808510638298,1779618492,50
16,0,2,2,HM_channel,0.4422307060728417,0.5403071684998173,0.0980764624269756,33.0,14.0,0.42424242424242425,1.2121212121212122,1779618492,50
16,0,2,2,Strong_delta_HM_channel,0.4422307060728417,-0.02058226552796094,,,,,,1779618492,50
16,0,2,2,Strong_delta_HM_naive,0.4422307060728417,0.0019332825136526566,,,,,,1779618492,50
16,0,4,2,H,0.4422307060728417,0.5536440184921961,0.11141331241935443,29.0,13.0,0.4482758620689655,1.0344827586206897,1779618492,50
16,0,4,2,M,0.4422307060728417,0.5315360460172789,0.08930533994443718,50.0,23.0,0.46,3.14,1779618492,50
16,0,4,2,HM_naive,0.4422307060728417,0.5540445844820666,0.11181387840922491,43.0,21.0,0.4883720930232558,1.5348837209302326,1779618492,50
16,0,4,2,HM_channel,0.4422307060728417,0.5643554330652131,0.12212472699237137,25.0,12.0,0.48,1.64,1779618492,50
16,0,4,2,Strong_delta_HM_channel,0.4422307060728417,0.010711414573016942,,,,,,1779618492,50
16,0,4,2,Strong_delta_HM_naive,0.4422307060728417,0.00040056598987048275,,,,,,1779618492,50
16,0,8,2,H,0.4422307060728417,0.5663034589093298,0.12407275283648805,35.0,13.0,0.37142857142857144,1.1142857142857143,1779618492,50
16,0,8,2,M,0.4422307060728417,0.5046360404956202,0.06240533442277846,50.0,24.0,0.48,6.66,1779618492,50
16,0,8,2,HM_naive,0.4422307060728417,0.5453744957594888,0.10314378968664711,36.0,18.0,0.5,1.5555555555555556,1779618492,50
16,0,8,2,HM_channel,0.4422307060728417,0.5628768852592471,0.12064617918640536,28.0,14.0,0.5,1.3214285714285714,1779618492,50
16,0,8,2,Strong_delta_HM_channel,0.4422307060728417,-0.003426573650082698,,,,,,1779618492,50
16,0,8,2,Strong_delta_HM_naive,0.4422307060728417,-0.02092896314984094,,,,,,1779618492,50
16,0,1,3,H,0.44802491632212255,0.5112110482811978,0.06318613195907524,33.0,14.0,0.42424242424242425,1.0606060606060606,233343918,50
16,0,1,3,M,0.44802491632212255,0.47932006687892437,0.03129515055680182,50.0,23.0,0.46,1.0,233343918,50
16,0,1,3,HM_naive,0.44802491632212255,0.5258771622978716,0.07785224597574908,50.0,21.0,0.42,1.0,233343918,50
16,0,1,3,HM_channel,0.44802491632212255,0.5092027585163619,0.06117784219423933,32.0,13.0,0.40625,1.0,233343918,50
16,0,1,3,Strong_delta_HM_channel,0.44802491632212255,-0.0020082897648359133,,,,,,233343918,50
16,0,1,3,Strong_delta_HM_naive,0.44802491632212255,0.014666114016673837,,,,,,233343918,50
16,0,2,3,H,0.44802491632212255,0.5258771622978716,0.07785224597574908,21.0,7.0,0.3333333333333333,1.0476190476190477,233343918,50
16,0,2,3,M,0.44802491632212255,0.4626187602045486,0.014593843882426072,50.0,26.0,0.52,1.84,233343918,50
