N,K,D,rep,condition,step,fitness,landscape_seed
16,0,4,0,H,50,0.620952795661139,1275788780
16,0,4,0,M,0,0.48066188751719263,1275788780
16,0,4,0,M,1,0.48894920127154484,1275788780
16,0,4,0,M,2,0.5418751582555779,1275788780
16,0,4,0,M,3,0.5696381295793974,1275788780
16,0,4,0,M,4,0.545837333151913,1275788780
16,0,4,0,M,5,0.5708676065957946,1275788780
16,0,4,0,M,6,0.5588522938727116,1275788780
16,0,4,0,M,7,0.6211854351135961,1275788780
16,0,4,0,M,8,0.6383732263847784,1275788780
16,0,4,0,M,9,0.5799619231695035,1275788780
16,0,4,0,M,10,0.5613570607628581,1275788780
16,0,4,0,M,11,0.5638536509747323,1275788780
16,0,4,0,M,12,0.5497352770999319,1275788780
16,0,4,0,M,13,0.5366408911056172,1275788780
16,0,4,0,M,14,0.5578107332041501,1275788780
16,0,4,0,M,15,0.5788539478728523,1275788780
16,0,4,0,M,16,0.5354138102083066,1275788780
16,0,4,0,M,17,0.5649619931758216,1275788780
16,0,4,0,M,18,0.601225006185115,1275788780
16,0,4,0,M,19,0.5631575512010211,1275788780
16,0,4,0,M,20,0.6031317101977011,1275788780
16,0,4,0,M,21,0.632145864501711,1275788780
16,0,4,0,M,22,0.6214851714850232,1275788780
16,0,4,0,M,23,0.5823612925496223,1275788780
16,0,4,0,M,24,0.6170759651564269,1275788780
16,0,4,0,M,25,0.5589835256620372,1275788780
16,0,4,0,M,26,0.5832716683398258,1275788780
16,0,4,0,M,27,0.5683091832226937,1275788780
16,0,4,0,M,28,0.5836344060486709,1275788780
16,0,4,0,M,29,0.5862802623378854,1275788780
16,0,4,0,M,30,0.5828240517590403,1275788780
16,0,4,0,M,31,0.6201672049551898,1275788780
16,0,4,0,M,32,0.648254136696482,1275788780
16,0,4,0,M,33,0.6383732263847784,1275788780
16,0,4,0,M,34,0.6119048782865755,1275788780
16,0,4,0,M,35,0.5888838130924963,1275788780
16,0,4,0,M,36,0.6328701662896552,1275788780
16,0,4,0,M,37,0.5931517418705365,1275788780
16,0,4,0,M,38,0.5877021664086228,1275788780
16,0,4,0,M,39,0.5963022743034742,1275788780
16,0,4,0,M,40,0.5993746483322002,1275788780
16,0,4,0,M,41,0.582972447766967,1275788780
16,0,4,0,M,42,0.5777145207240739,1275788780
16,0,4,0,M,43,0.5574160436524759,1275788780
16,0,4,0,M,44,0.5914303412740245,1275788780
16,0,4,0,M,45,0.5997176550283768,1275788780
16,0,4,0,M,46,0.6196339483894769,1275788780
16,0,4,0,M,47,0.5999028922496432,1275788780
16,0,4,0,M,48,0.555115798589221,1275788780
16,0,4,0,M,49,0.5715659292300544,1275788780
16,0,4,0,M,50,0.554978491443555,1275788780
16,0,4,0,HM_naive,0,0.48066188751719263,1275788780
16,0,4,0,HM_naive,1,0.5565465253810122,1275788780
16,0,4,0,HM_naive,2,0.5897562767138954,1275788780
16,0,4,0,HM_naive,3,0.6097225136433417,1275788780
16,0,4,0,HM_naive,4,0.6304717999415819,1275788780
16,0,4,0,HM_naive,5,0.6492723668548883,1275788780
16,0,4,0,HM_naive,6,0.6492723668548883,1275788780
16,0,4,0,HM_naive,7,0.6331640946601172,1275788780
16,0,4,0,HM_naive,8,0.6451826279103875,1275788780
16,0,4,0,HM_naive,9,0.6451826279103875,1275788780
16,0,4,0,HM_naive,10,0.6342834874402776,1275788780
16,0,4,0,HM_naive,11,0.6342834874402776,1275788780
16,0,4,0,HM_naive,12,0.6342834874402776,1275788780
16,0,4,0,HM_naive,13,0.6332652572818713,1275788780
16,0,4,0,HM_naive,14,0.6441643977519812,1275788780
16,0,4,0,HM_naive,15,0.6441643977519812,1275788780
16,0,4,0,HM_naive,16,0.648254136696482,1275788780
16,0,4,0,HM_naive,17,0.6466413610543579,1275788780
16,0,4,0,HM_naive,18,0.6466413610543579,1275788780
16,0,4,0,HM_naive,19,0.6476595912127642,1275788780
16,0,4,0,HM_naive,20,0.6476595912127642,1275788780
16,0,4,0,HM_naive,21,0.6476595912127642,1275788780
16,0,4,0,HM_naive,22,0.6476595912127642,1275788780
16,0,4,0,HM_naive,23,0.6476595912127642,1275788780
16,0,4,0,HM_naive,24,0.6466413610543579,1275788780
16,0,4,0,HM_naive,25,0.6435698522682634,1275788780
16,0,4,0,HM_naive,26,0.6476595912127642,1275788780
16,0,4,0,HM_naive,27,0.6435698522682634,1275788780
16,0,4,0,HM_naive,28,0.6435698522682634,1275788780
16,0,4,0,HM_naive,29,0.6425516221098571,1275788780
16,0,4,0,HM_naive,30,0.6425516221098571,1275788780
16,0,4,0,HM_naive,31,0.6466413610543579,1275788780
16,0,4,0,HM_naive,32,0.6476595912127642,1275788780
16,0,4,0,HM_naive,33,0.6466413610543579,1275788780
16,0,4,0,HM_naive,34,0.6425516221098571,1275788780
16,0,4,0,HM_naive,35,0.6441643977519812,1275788780
16,0,4,0,HM_naive,36,0.648254136696482,1275788780
16,0,4,0,HM_naive,37,0.648254136696482,1275788780
16,0,4,0,HM_naive,38,0.648254136696482,1275788780
16,0,4,0,HM_naive,39,0.6441643977519812,1275788780
16,0,4,0,HM_naive,40,0.6476595912127642,1275788780
16,0,4,0,HM_naive,41,0.6492723668548883,1275788780
16,0,4,0,HM_naive,42,0.648254136696482,1275788780
16,0,4,0,HM_naive,43,0.6492723668548883,1275788780
16,0,4,0,HM_naive,44,0.6492723668548883,1275788780
16,0,4,0,HM_naive,45,0.6492723668548883,1275788780
16,0,4,0,HM_naive,46,0.6375934436797943,1275788780
16,0,4,0,HM_naive,47,0.6375934436797943,1275788780
16,0,4,0,HM_naive,48,0.6256760730512781,1275788780
16,0,4,0,HM_naive,49,0.635742220584248,1275788780
16,0,4,0,HM_naive,50,0.6256760730512781,1275788780
16,0,4,0,HM_channel,0,0.48066188751719263,1275788780
16,0,4,0,HM_channel,1,0.5249671756894927,1275788780
16,0,4,0,HM_channel,2,0.554087188077875,1275788780
16,0,4,0,HM_channel,3,0.5701954602726461,1275788780
16,0,4,0,HM_channel,4,0.5901616972020923,1275788780
16,0,4,0,HM_channel,5,0.6234151114537411,1275788780
16,0,4,0,HM_channel,6,0.6234151114537411,1275788780
16,0,4,0,HM_channel,7,0.6451826279103875,1275788780
16,0,4,0,HM_channel,8,0.6451826279103875,1275788780
16,0,4,0,HM_channel,9,0.6441643977519812,1275788780
16,0,4,0,HM_channel,10,0.6441643977519812,1275788780
16,0,4,0,HM_channel,11,0.6441643977519812,1275788780
16,0,4,0,HM_channel,12,0.6441643977519812,1275788780
16,0,4,0,HM_channel,13,0.6441643977519812,1275788780
16,0,4,0,HM_channel,14,0.6441643977519812,1275788780
16,0,4,0,HM_channel,15,0.6441643977519812,1275788780
16,0,4,0,HM_channel,16,0.6441643977519812,1275788780
16,0,4,0,HM_channel,17,0.6425516221098571,1275788780
16,0,4,0,HM_channel,18,0.6225853851804107,1275788780
16,0,4,0,HM_channel,19,0.6466413610543579,1275788780
16,0,4,0,HM_channel,20,0.6466413610543579,1275788780
16,0,4,0,HM_channel,21,0.6466413610543579,1275788780
16,0,4,0,HM_channel,22,0.6466413610543579,1275788780
16,0,4,0,HM_channel,23,0.6466413610543579,1275788780
16,0,4,0,HM_channel,24,0.6466413610543579,1275788780
16,0,4,0,HM_channel,25,0.6466413610543579,1275788780
16,0,4,0,HM_channel,26,0.6466413610543579,1275788780
16,0,4,0,HM_channel,27,0.6476595912127642,1275788780
16,0,4,0,HM_channel,28,0.6476595912127642,1275788780
16,0,4,0,HM_channel,29,0.6476595912127642,1275788780
16,0,4,0,HM_channel,30,0.6476595912127642,1275788780
16,0,4,0,HM_channel,31,0.6476595912127642,1275788780
16,0,4,0,HM_channel,32,0.6476595912127642,1275788780
16,0,4,0,HM_channel,33,0.6476595912127642,1275788780
16,0,4,0,HM_channel,34,0.6375934436797943,1275788780
16,0,4,0,HM_channel,35,0.6375934436797943,1275788780
16,0,4,0,HM_channel,36,0.6375934436797943,1275788780
16,0,4,0,HM_channel,37,0.636575213521388,1275788780
16,0,4,0,HM_channel,38,0.6425516221098571,1275788780
